OBJECTID *,Shape *,PermitNo,FeatCLS,Contact,Source,National_I,Type_Flag,Shape_Leng,Calc_Acres,QUAD_DESC,MINE_STATU,PER_NAME,REGION_DES,PERM_ACT,ACT_INAC,DATE_ISS,PER_TYPE,ORIG_PERM,Shape_Length,Shape_Area
3324,Polygon,8980591,SF,KY Division of Mine Permits,KGS Project,KY8980591,INACT,40716.94083,205.953539,META,RC,CORBIN MINING LLC,PIKEVILLE,  MI   7  04/01/2008  MI   6  03/25/2008  SU   2  09/13/2000,Released,9/13/2000,PERMANENT,8980434,40716.94083,8971336.132
3331,Polygon,8980634,SF,KY Division of Mine Permits,KYDMP,KY8980634,INACT,39549.93603,49.177931,BROAD BOTTOM,RC,MCCOY ELKHORN COAL CORPORATION,PIKEVILLE,  MT   3  06/06/2005  MTS   1  03/27/2002  RN   2  01/22/200,Released,9/6/2001,PERMANENT,8980309,39549.93603,2142190.775
3332,Polygon,8980645,SF,KY Division of Mine Permits,KYDMP,KY8980645,INACT,3741.509716,2.226436,BROAD BOTTOM,RC,ELMO GREER & SONS LLC,PRESTONSBURG,  MT   1  08/23/2006  NW   1  06/12/2003,Released,6/12/2003,PERMANENT,8980645,3741.509716,96983.54862
3333,Polygon,8980657,SF,KY Division of Mine Permits,KYDMP,KY8980657,INACT,108571.2098,405.599908,BROAD BOTTOM,RC,AEP KENTUCKY COAL LLC,PRESTONSBURG,  MI   7  04/14/2004  MI   6  11/13/2003  MI   5  01/22/2003,Released,3/22/2002,PERMANENT,8980501,108571.2098,17667932.02
3334,Polygon,8980658,SF,KY Division of Mine Permits,KYDMP,KY8980658,INACT,89461.37036,254.558424,THOMAS,RC,AEP KENTUCKY COAL LLC,PIKEVILLE,  MI   5  05/19/2005  MI   3  11/24/2003  MT   1  09/10/2003,Released,4/2/2002,PERMANENT,8980564,89461.37036,11088564.72
3336,Polygon,8980693,SF,KY Division of Mine Permits,KYDMP,KY8980693,INACT,4930.074057,4.434876,META,RC,PRATER CONSTRUCTION INC,PIKEVILLE,  MT   1  04/16/2007  NW   1  02/18/2005,Released,2/18/2005,PERMANENT,8980693,4930.074057,193183.1436
3337,Polygon,8980708,SF,KY Division of Mine Permits,KYDMP,KY8980708,INACT,26593.68604,91.482874,BELFRY,RC,ACME RESOURCES LLC,PIKEVILLE,  MT   1  08/21/2008  AM   1  11/21/2005  MI   1  04/21/2005,Released,10/11/2004,PERMANENT,8980708,26593.68645,3984993.834
3341,Polygon,8980739,SF,KY Division of Mine Permits,KYDMP,KY8980739,INACT,39303.59536,149.068844,THOMAS,RC,LCC KENTUCKY LLC,PIKEVILLE,  SU   1  09/27/2005,Released,9/27/2005,PERMANENT,8980417,39303.59536,6493438.836
3342,Polygon,8980744,SF,KY Division of Mine Permits,KGS Project,KY8980744,INACT,73618.0849,262.934443,META,RC,LCC KENTUCKY LLC,PIKEVILLE,  SU   2  05/04/2006,Released,5/4/2006,PERMANENT,8980403,18172.58302,2466303.982
3343,Polygon,8980744,SF,KY Division of Mine Permits,KYDMP,KY8980744,INACT,112100.7049,468.471392,META,RC,LCC KENTUCKY LLC,PIKEVILLE,  SU   2  05/04/2006,Released,5/4/2006,PERMANENT,8980403,32280.55665,5317467.288
